LQ14,start ,7/13/2017,,,,,
,,,,,,,
person,my requests,requests from others,,date requested,date completed,,notes
moeller,,pumping and gauge problems,,06/30/17 03:40 PM,,,
trippel,,debug AMO 25 ns acqiris jitter,,06/21/17,,,
Trippel,Banging for motor and data and controls,,,06/26/17,06/27/17,,they'yre bringing their own motors. Didn't respond to data requests
Moeller,,Double VMI w/ high voltage,,6/22/2017,,,
Moeller,,MCP phosphor screen readout and camera,,6/22/2017,,,
Moeller,,two remote desktops one for laser one for control,,6/22/2017,,,rdesktop
Moeller,,bang on trippel for motor description,,6/22/2017,06/26/17,,
Moeller,,web cams,,6/22/2017,,,
Moeller,,remote desktop to SXR,,6/22/2017,,,
Moeller,,opal on the time tool is working,,06/22/17,,,
Moeller,,cobolt,,07/05/17,none,,just needs remote desktop
